what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499238520809
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499238521966
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238522728
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1499238541942
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238558180
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238591126
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238597630
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1499238597666
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238605141
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238605763
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499238607086
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238607682
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238613486
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238629148
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238639462
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238641688
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1499238641713
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499238642823
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499238654140
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499238654764
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238657782
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238664234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238697721
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238698178
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499238711469
