what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237886215
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237888010
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237911736
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237913858
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499237916326
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499237916800
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499237921512
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237923100
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499237925519
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499237927199
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499237932980
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237933195
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237939427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238265649
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499238278539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238282705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238292641
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238297501
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238313149
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499238313240
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499238313283
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238333130
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238335492
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1499238335514
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499238372663
