what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499756075237
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499756085393
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499756085603
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499756085646
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499756097767
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756103875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756476494
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499756477575
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499756480329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756494350
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756575196
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499756581896
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499756588068
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499756622311
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499756629616
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499756650701
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756653226
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756660991
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756669665
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756676905
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499756680174
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1499756686188
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756694145
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499756722952
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499756732647
