what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241182338
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241182378
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241186227
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241205338
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241207206
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241207922
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499241228248
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499241230879
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499241233493
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499241235187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241238596
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241240216
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241240975
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241242177
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499241245364
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241247266
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241248014
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,1499241248024
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241248992
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241257875
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241257919
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241259283
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499241260079
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499241266655
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499241272131
