what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1499154817848
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499154818710
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154822262
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154824686
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499154826624
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499154831059
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1499154840700
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499154841290
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499154844924
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154847388
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154848439
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,1499154848464
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154849380
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154851265
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499154851303
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154856524
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154858176
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154858955
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154860626
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499154866778
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1499154870116
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499154870893
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154876696
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499154878967
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1499154879068
