what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499414437001
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499414438363
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499414439370
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499414440261
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499414445759
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414448029
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414483641
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499414490482
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414494012
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414494156
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499414497178
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414498906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414499082
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499414508748
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414511006
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414512323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414513038
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414540966
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499414543110
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499414544937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414594525
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499414666560
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499414668648
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499414670311
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1499414670642
