what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499828529990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499828530884
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499828537947
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499828538565
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499828575860
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829123737
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829125785
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829145278
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829163910
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829454560
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829455458
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829461393
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499829462729
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499833902807
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499833904378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841816845
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499841821176
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499841830165
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841832593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841845000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841845388
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841853767
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841861018
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841862637
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499841868441
