what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328300757
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328301632
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,1499328301643
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328302639
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328329121
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499328329159
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499328337603
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499328348413
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499328349775
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328350616
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328360745
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499328367666
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328370162
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328375663
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499328382323
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499328382361
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499328388329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328389640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328396182
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499328397764
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328401196
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499328405007
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.debug,1499328405018
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499328406241
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1499328406417
