what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499849941794
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499849947139
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499849965861
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499849971027
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499849973637
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499849988426
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850234536
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850235811
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850470381
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850493887
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499850597607
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850597720
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1499850597731
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850606104
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850621971
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499850622347
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499850622433
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850659430
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850662386
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1499850662422
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1499850674714
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850677720
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499850677890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499850686667
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499850687245
