what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276725705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276729506
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276730973
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276753963
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276759264
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276783527
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276799007
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276805822
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276807164
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276819982
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276850044
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276855827
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276856594
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276858473
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500276860059
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277063242
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277068470
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277077088
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277118680
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277275110
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1500277277112
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1500277278633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277282360
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277283289
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500277283784
