what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499823920750
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499824561220
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499824562809
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1499824563636
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499824566968
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499824567015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499824570865
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499824576135
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826069714
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826070727
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826310800
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499826311615
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826313841
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826669169
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499826671994
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499826679181
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499826679224
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499826683648
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499826683823
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826690400
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826698264
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1499826712904
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826713590
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826715335
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499826722270
