what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237772382
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237794660
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237794695
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237795740
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237798273
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237799038
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237800615
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499237803022
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499237805727
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499237806452
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499237810620
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499237811748
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499237812247
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499237815393
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237817069
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237817790
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,1499237817801
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237818759
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237841729
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499237841764
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237847508
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237883045
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237883774
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499237884988
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499237885886
