what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499156902792
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499156903679
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499156904539
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1499156905476
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1499156909946
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499156910330
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499156911801
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499156938856
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157261185
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157309301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157327226
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157492270
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157503376
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157517225
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157539804
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1499157561498
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157567026
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157588797
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499157592314
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157600531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157620461
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499157624811
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157625353
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157638329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499157640052
