what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1500281442549
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1500281444819
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281455188
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281455367
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1500281463986
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1500281465425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281476310
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281483186
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1500281490914
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281495510
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281502621
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1500281513990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281514725
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1500281516638
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1500281516668
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1500281517874
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1500281526035
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1500281540732
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1500281541824
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1500281545316
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1500281557633
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1500281566361
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1500281570945
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1500281572092
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1500281576055
