what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160424911
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160426448
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160442476
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160446356
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160448061
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160449647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160490863
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160492470
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1499160508994
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1499160509761
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1499160519970
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1499160522021
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160524056
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160525089
executed,command,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.runtimeWorkbenchShortcut.run,1499160525101
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160526025
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160529399
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1499160529981
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160530227
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160531970
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160537932
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160542686
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160546105
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160547573
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1499160553692
